,x,y,z,pred_x,pred_y,pred_z
97,-371.09,92.8411,-111.006,-476.48648,258.61905,-129.31122
98,-369.58,93.8665,-110.968,-456.77612,232.78479,-123.62997
99,-368.318,94.8211,-110.974,-438.85083,232.98383,-121.06522
100,-367.338,95.6579,-110.985,-430.03033,230.46054,-119.267746
101,-366.313,96.6416,-110.983,-417.84058,221.73349,-115.97786
102,-365.238,97.8029,-110.972,-419.8459,220.31497,-114.76508
103,-364.209,99.0307,-110.976,-422.83737,229.74092,-116.9212
104,-363.225,100.281,-110.975,-430.04285,226.79968,-116.61474
105,-362.263,101.535,-110.972,-425.17072,225.74957,-115.0015
106,-361.3,102.79,-110.97,-425.10925,233.20975,-114.06273
107,-360.294,104.069,-110.97,-416.71008,223.89423,-113.2594
108,-359.285,105.308,-110.957,-408.3177,228.01886,-111.87815
109,-358.299,106.473,-110.951,-391.7018,231.0082,-110.081764
110,-357.296,107.623,-110.949,-376.68988,225.21268,-107.485794
111,-356.2,108.848,-110.946,-358.14856,212.45337,-104.69804
112,-355.106,110.055,-110.944,-338.41663,209.11191,-102.184364
113,-354.018,111.25,-110.942,-319.25067,198.96843,-97.2887
114,-352.933,112.446,-110.94,-305.98102,205.72131,-94.501686
115,-351.854,113.648,-110.94,-292.18927,201.30994,-91.76353
116,-350.838,114.79,-110.939,-280.1032,194.62631,-92.20834
117,-349.771,116.003,-110.938,-268.9378,182.69336,-90.73875
118,-348.996,116.89,-110.937,-260.14014,183.54349,-89.60809
119,-348.365,117.615,-110.937,-255.91266,184.03697,-90.756546
120,-346.898,119.309,-110.936,-252.59302,157.24826,-88.50118
121,-346.165,120.156,-110.935,-251.95068,136.44398,-87.341446
122,-345.308,121.145,-110.934,-243.22412,120.11718,-85.80127
123,-344.382,122.211,-110.934,-238.39285,116.42839,-86.19403
124,-343.493,123.231,-110.933,-239.70732,107.88955,-86.277954
125,-342.526,124.338,-110.932,-242.90149,93.962685,-87.97621
126,-341.261,125.783,-110.931,-231.68694,81.9853,-87.82758
127,-340.542,126.603,-110.931,-235.27599,74.27464,-88.58571
128,-339.561,127.717,-110.929,-233.78366,68.880516,-88.946495
129,-338.475,128.952,-110.92,-242.57129,73.25064,-88.750435
130,-337.639,129.902,-110.918,-248.71552,70.6662,-88.870155
131,-336.631,131.051,-110.916,-251.46843,79.289536,-88.18361
132,-335.453,132.397,-110.915,-256.67395,83.71641,-88.37337
133,-334.59,133.381,-110.913,-246.02832,74.48136,-85.64693
134,-333.584,134.531,-110.913,-247.21768,78.23444,-85.128815
135,-333.278,134.881,-110.912,-250.70302,80.413,-84.96933
136,-333.143,135.035,-110.912,-245.45638,83.041046,-83.42544
137,-332.981,135.221,-110.912,-244.94257,84.61677,-83.95088
138,-332.846,135.374,-110.912,-238.43199,86.24013,-83.404724
139,-332.712,135.528,-110.912,-243.60849,88.75764,-83.81714
140,-332.54,135.725,-110.912,-236.2605,87.43756,-82.257324
141,-332.358,135.933,-110.912,-232.21582,87.1966,-81.93471
142,-332.185,136.13,-110.911,-235.89137,87.14608,-82.25695
143,-331.994,136.35,-110.911,-234.27689,90.08931,-81.79005
144,-331.955,136.393,-110.911,-239.00104,87.777855,-81.79365
145,-331.802,136.569,-110.911,-230.14728,89.3214,-80.1104
146,-331.581,136.821,-110.911,-243.03543,96.528076,-82.622986
147,-331.361,137.073,-110.911,-236.7631,90.137634,-79.81458
148,-331.198,137.259,-110.911,-240.75586,91.13324,-80.4132
149,-331.045,137.434,-110.911,-231.589,88.95059,-79.87413
150,-330.786,137.73,-110.91,-233.48788,91.41842,-80.55014
151,-330.642,137.894,-110.91,-233.79977,92.67324,-81.0707
152,-330.441,138.124,-110.91,-230.39108,92.117256,-80.76572
153,-330.317,138.266,-110.91,-238.65244,93.73086,-82.693474
154,-330.23,138.364,-110.91,-231.36661,92.55596,-81.39415
155,-330.067,138.55,-110.91,-221.84195,90.425804,-79.92801
156,-329.866,138.78,-110.91,-222.59189,92.21634,-80.0728
157,-329.675,138.999,-110.909,-222.37547,92.18369,-79.86507
158,-329.454,139.251,-110.909,-228.31946,97.11602,-82.023056
159,-329.282,139.448,-110.909,-227.97665,97.4004,-81.68019
160,-329.109,139.644,-110.906,-233.92683,101.73858,-83.3387
161,-328.946,139.83,-110.903,-220.3277,95.92765,-79.64891
162,-328.812,139.984,-110.902,-228.44176,100.92913,-82.17289
163,-328.649,140.17,-110.901,-226.12923,101.69693,-82.49682
164,-328.448,140.399,-110.9,-224.73785,101.56513,-82.519615
165,-328.266,140.607,-110.9,-226.17468,105.861046,-83.6855
166,-328.084,140.815,-110.899,-215.4816,101.61605,-81.8929
167,-327.911,141.012,-110.899,-223.57231,104.12749,-82.740036
168,-327.729,141.22,-110.898,-222.02322,103.7069,-82.7249
169,-327.681,141.275,-110.898,-225.91997,107.05579,-84.197876
170,-327.346,141.658,-110.898,-215.39648,100.54505,-80.82391
171,-327.164,141.865,-110.897,-215.22409,101.54946,-81.06607
172,-326.991,142.062,-110.897,-204.79828,101.37176,-80.14728
173,-326.79,142.292,-110.896,-216.97397,107.47028,-82.1037
174,-326.656,142.445,-110.896,-210.70361,101.30508,-80.76744
175,-326.56,142.555,-110.896,-213.2962,102.86295,-81.4512
176,-326.417,142.719,-110.896,-216.68207,104.27839,-82.157326
177,-326.225,142.938,-110.895,-207.06679,98.81595,-79.84824
178,-325.995,143.2,-110.895,-211.55873,101.77857,-80.85009
179,-325.842,143.375,-110.895,-214.63153,105.84575,-81.79971
180,-325.688,143.55,-110.895,-204.91608,100.69133,-80.10836
181,-325.497,143.769,-110.894,-223.22751,108.6906,-83.416626
182,-325.343,143.944,-110.894,-207.16354,101.766556,-79.95031
183,-325.2,144.108,-110.894,-205.77196,100.5507,-78.75151
184,-324.979,144.36,-110.893,-215.45212,105.96649,-81.42565
185,-324.768,144.601,-110.893,-205.61528,100.48171,-78.830925
186,-324.567,144.83,-110.893,-205.98834,100.95498,-79.016655
187,-324.385,145.038,-110.893,-207.61482,100.49645,-78.891815
188,-324.241,145.202,-110.892,-204.46326,98.34825,-78.35812
189,-324.145,145.312,-110.892,-199.55368,97.07232,-78.13524
190,-324.021,145.454,-110.892,-207.06104,98.43451,-79.87813
191,-323.743,145.771,-110.892,-207.7825,99.29756,-80.05839
192,-323.57,145.968,-110.892,-215.67044,103.08828,-81.5491
193,-323.341,146.231,-110.892,-207.23828,98.54165,-79.82259
194,-323.178,146.417,-110.892,-209.23045,100.005295,-79.654
195,-323.043,146.57,-110.891,-201.17143,97.8961,-79.373665
196,-322.804,146.843,-110.891,-209.03387,101.56704,-81.01492
197,-322.593,147.084,-110.891,-208.30139,102.19908,-81.40544
198,-322.373,147.336,-110.891,-198.29617,100.32168,-79.51091
199,-322.152,147.587,-110.891,-196.21283,99.30156,-78.96738
200,-321.932,147.839,-110.891,-199.37228,103.02445,-79.87726
201,-321.779,148.014,-110.89,-198.18057,100.86738,-79.962616
202,-321.587,148.233,-110.89,-206.77536,101.700905,-80.80542
203,-321.357,148.495,-110.89,-200.43365,98.64241,-80.10388
204,-321.137,148.747,-110.89,-199.77061,99.981186,-80.91716
205,-320.897,149.021,-110.89,-196.40904,100.407646,-80.763535
206,-320.696,149.25,-110.89,-203.57631,103.6423,-83.169014
207,-320.562,149.403,-110.889,-203.34633,102.20994,-82.29561
208,-320.341,149.655,-110.889,-197.17531,100.691216,-81.890526
209,-320.121,149.907,-110.889,-201.44255,101.67843,-81.74161
210,-319.958,150.093,-110.889,-198.20657,102.057945,-82.86281
211,-319.766,150.312,-110.889,-196.78818,102.34468,-82.00837
212,-319.737,150.344,-110.889,-194.89883,100.94867,-81.580185
213,-319.546,150.563,-110.889,-193.09384,101.21459,-81.54332
214,-319.278,150.869,-110.888,-192.33368,102.813034,-81.6241
215,-319.105,151.066,-110.888,-198.36688,103.455925,-83.42345
216,-318.865,151.34,-110.888,-194.1574,104.62205,-82.2677
217,-318.741,151.482,-110.888,-195.56122,102.539375,-81.92394
218,-318.444,151.821,-110.882,-189.4094,103.29306,-81.80399
219,-318.223,152.073,-110.88,-184.93872,101.35226,-80.46535
220,-318.022,152.303,-110.88,-184.55472,100.63568,-81.6187
221,-317.946,152.39,-110.879,-177.76712,97.59475,-80.80031
222,-317.763,152.598,-110.879,-185.11005,102.96152,-82.515076
223,-317.534,152.861,-110.878,-181.2613,100.49038,-82.105835
224,-317.409,153.003,-110.878,-175.05376,99.7781,-80.828575
225,-317.112,153.342,-110.877,-183.9568,100.971596,-82.63335
226,-316.891,153.594,-110.877,-175.1891,96.35659,-80.9358
227,-316.661,153.856,-110.876,-166.02002,94.24709,-79.50896
228,-316.556,153.977,-110.876,-178.73581,101.455696,-81.661804
229,-316.192,154.392,-110.875,-169.70853,99.381294,-80.905014
230,-315.914,154.71,-110.875,-170.95715,102.201,-81.415855
231,-315.617,155.049,-110.874,-167.73428,105.54904,-81.36327
232,-315.368,155.333,-110.874,-162.21773,102.54193,-81.20273
233,-315.205,155.519,-110.874,-158.14462,102.52913,-81.02998
234,-315.176,155.552,-110.874,-153.49315,98.740486,-80.96376
235,-314.841,155.935,-110.873,-161.05084,99.193855,-83.506165
236,-314.668,156.132,-110.873,-156.20259,102.435394,-84.22018
237,-314.553,156.263,-110.873,-158.85555,101.70446,-83.49152
238,-314.208,156.657,-110.872,-150.8517,96.01414,-83.76704
239,-313.911,156.996,-110.871,-145.03839,93.60142,-82.778564
240,-313.624,157.324,-110.871,-144.73964,94.050804,-84.29193
241,-313.423,157.554,-110.871,-140.85635,92.41092,-83.63644
242,-313.097,157.926,-110.871,-147.9117,95.300255,-85.58104
243,-312.8,158.265,-110.871,-140.39207,93.49148,-83.86998
244,-312.474,158.637,-110.87,-142.37402,95.49911,-85.24732
245,-312.234,158.911,-110.87,-140.96579,92.87008,-85.17572
246,-311.966,159.217,-110.87,-137.57608,93.60667,-84.35626
247,-311.64,159.589,-110.87,-129.31674,88.96602,-82.73811
248,-311.305,159.972,-110.869,-135.54771,91.57856,-84.94613
249,-310.969,160.355,-110.869,-130.85019,90.08783,-84.60831
250,-310.749,160.607,-110.869,-126.64292,88.81229,-83.23218
251,-310.433,160.968,-110.869,-120.74504,86.667076,-81.721085
252,-310.069,161.383,-110.868,-124.823296,89.45759,-83.638054
253,-309.695,161.81,-110.868,-124.612686,90.613174,-83.64219
254,-309.427,162.116,-110.868,-118.49657,89.57493,-81.834526
255,-309.225,162.346,-110.868,-116.193954,90.13099,-83.14139
256,-308.967,162.642,-110.868,-114.90281,89.39974,-82.42081
257,-308.718,162.926,-110.867,-113.11297,88.19217,-81.77263
258,-308.564,163.101,-110.867,-110.26359,84.73317,-81.07013
259,-308.238,163.473,-110.867,-108.23323,84.98371,-81.32958
260,-307.826,163.943,-110.86,-108.01322,85.82812,-80.85519
261,-307.405,164.425,-110.858,-113.81089,88.81054,-83.12805
262,-307.108,164.764,-110.857,-102.11405,86.94523,-80.474686
263,-306.686,165.246,-110.856,-101.20617,88.641594,-80.61638
264,-306.293,165.695,-110.855,-96.21283,87.26882,-79.55849
265,-305.872,166.177,-110.854,-94.76496,87.99231,-78.93045
266,-305.517,166.582,-110.854,-96.537575,90.95196,-80.687805
267,-305.086,167.075,-110.853,-91.39144,91.32934,-79.72954
268,-304.616,167.612,-110.852,-88.44059,91.45147,-79.90964
269,-304.281,167.995,-110.852,-90.31982,91.71206,-80.18645
270,-303.783,168.564,-110.851,-88.12032,97.07423,-79.00113
271,-303.294,169.122,-110.85,-80.468315,99.16563,-78.52613
272,-302.891,169.581,-110.85,-81.124115,99.351074,-79.00996
273,-302.441,170.096,-110.85,-73.69613,94.93322,-78.27405
274,-301.933,170.675,-110.849,-78.40949,101.937355,-79.5561
275,-301.473,171.201,-110.849,-74.28672,108.27567,-78.84138
276,-300.965,171.78,-110.848,-76.11945,107.67805,-79.65864
277,-300.438,172.382,-110.848,-73.33074,112.67993,-80.18259
278,-299.93,172.962,-110.848,-64.78619,117.326256,-81.470505
279,-299.461,173.498,-110.847,-60.45715,123.57935,-83.10396
280,-298.915,174.122,-110.847,-62.51252,127.35795,-82.07467
281,-298.455,174.647,-110.846,-55.048817,133.37616,-82.51254
282,-297.947,175.227,-110.846,-51.000603,133.60706,-82.383835
283,-297.381,175.872,-110.839,-48.770325,132.68323,-83.39206
284,-296.874,176.452,-110.837,-47.265617,134.67789,-81.71457
285,-296.279,177.13,-110.835,-42.549755,134.70627,-80.75127
286,-295.676,177.82,-110.834,-39.04062,144.53204,-79.963486
287,-295.149,178.421,-110.833,-35.526134,156.27345,-82.270905
288,-294.545,179.111,-110.832,-31.127056,152.94403,-81.77861
289,-293.97,179.767,-110.831,-29.963211,155.7235,-81.84092
290,-293.376,180.445,-110.83,-24.187246,162.05652,-83.85643
291,-292.734,181.178,-110.829,-22.893482,163.2239,-83.46338
292,-292.341,181.627,-110.829,-20.118015,160.58432,-83.024796
293,-291.68,182.382,-110.828,-22.985207,164.61885,-83.44292
294,-291.067,183.082,-110.828,-9.87206,168.3497,-84.32301
295,-290.444,183.793,-110.827,-6.5456862,174.49252,-83.786545
296,-289.744,184.592,-110.827,-9.810147,180.9029,-84.552666
297,-289.093,185.336,-110.826,-14.162896,181.84305,-84.89254
298,-288.383,186.145,-110.826,-13.70624,180.76387,-84.62481
299,-287.78,186.835,-110.825,-15.57504,178.09291,-83.86044
300,-287.042,187.677,-110.821,-17.543297,179.28609,-82.909935
301,-286.409,188.399,-110.816,-13.443358,180.02582,-83.67815
302,-285.662,189.252,-110.814,-10.648561,188.5676,-85.270676
303,-285.145,189.843,-110.813,-10.059561,193.61902,-85.02884
304,-284.665,190.39,-110.812,-10.304224,191.32974,-85.18767
305,-284.1,191.036,-110.811,-11.593443,188.01578,-83.34914
306,-283.362,191.878,-110.81,-10.925511,181.45232,-82.15869
307,-283.017,192.273,-110.809,-8.59332,181.97345,-82.25745
308,-282.279,193.116,-110.808,-8.929751,182.0227,-81.98075
309,-281.647,193.839,-110.808,-10.707486,188.49902,-84.256836
310,-280.871,194.725,-110.807,-9.04934,191.70279,-85.0688
311,-280.334,195.338,-110.807,-1.5235246,191.10635,-85.51788
312,-279.529,196.257,-110.806,1.7635151,191.8215,-85.31552
313,-278.734,197.165,-110.805,4.0254903,195.73792,-84.71045
314,-277.862,198.16,-110.805,-2.8149676,198.70824,-84.81732
315,-277.009,199.134,-110.804,-4.4496713,202.1305,-84.92108
316,-276.204,200.053,-110.796,-3.2545848,208.98587,-84.96938
317,-275.255,201.136,-110.793,-0.27323952,205.07324,-84.2788
318,-274.422,202.088,-110.791,-4.416124,203.66351,-83.60137
319,-273.473,203.171,-110.79,-8.317664,205.34161,-83.855675
320,-272.582,204.189,-110.788,-10.844775,214.57977,-86.02312
321,-271.681,205.217,-110.787,-11.130292,216.21297,-86.23758
322,-270.637,206.41,-110.786,-13.039158,207.61505,-83.443275
323,-269.678,207.504,-110.785,-23.531584,206.56133,-82.98784
324,-268.711,208.609,-110.785,-23.136196,209.75392,-85.010414
325,-267.637,209.834,-110.784,-19.891108,212.54585,-86.002594
326,-266.669,210.939,-110.783,-19.347322,217.1715,-85.6208
327,-265.663,212.088,-110.775,-19.26782,217.98822,-85.44815
328,-264.504,213.412,-110.772,-23.211094,217.60004,-87.022125
329,-263.364,214.714,-110.769,-19.354013,216.97108,-85.59154
330,-262.29,215.941,-110.768,-25.06147,218.63307,-86.93293
331,-261.131,217.266,-110.766,-28.301744,222.8983,-87.15489
332,-259.904,218.666,-110.765,-42.439194,222.0178,-87.84256
333,-258.63,220.121,-110.764,-47.019943,223.43053,-87.90563
334,-257.432,221.489,-110.763,-58.448715,214.87096,-85.78411
335,-256.205,222.889,-110.762,-65.24341,217.55408,-85.46861
336,-254.969,224.3,-110.753,-86.66426,204.22525,-83.927246
337,-253.714,225.734,-110.75,-92.646736,196.56639,-82.49509
338,-252.353,227.287,-110.747,-104.313736,196.24448,-82.85989
339,-250.945,228.895,-110.745,-100.05186,194.14606,-83.18317
340,-249.632,230.394,-110.744,-107.53984,196.3461,-82.36285
341,-248.271,231.948,-110.743,-117.35449,194.84644,-81.88507
342,-247.418,232.922,-110.742,-124.86498,187.49551,-82.45119
343,-245.914,234.639,-110.741,-111.01311,191.52298,-83.07646
344,-244.553,236.193,-110.732,-106.554695,197.762,-83.69876
345,-243.173,237.768,-110.729,-123.51629,185.95168,-85.12901
346,-241.774,239.366,-110.726,-118.44649,184.16805,-84.81627
347,-240.279,241.075,-110.724,-128.01366,184.6734,-84.639786
348,-239.053,242.475,-110.723,-123.44471,199.72672,-85.65823
349,-237.864,243.832,-110.722,-127.20664,194.83836,-84.99669
350,-236.734,245.123,-110.721,-140.61401,195.51407,-86.16048
351,-235.478,246.556,-110.72,-132.56546,200.04178,-86.84946
352,-234.031,248.208,-110.711,-131.94228,205.4758,-86.74393
353,-232.556,249.893,-110.707,-125.80604,219.8557,-88.36034
354,-231.051,251.611,-110.705,-118.67912,224.96628,-89.881836
355,-229.547,253.328,-110.703,-114.00202,231.95142,-89.91939
356,-227.975,255.123,-110.701,-110.199486,228.52858,-91.34775
357,-226.394,256.929,-110.7,-118.550285,230.84602,-90.54049
358,-224.823,258.726,-110.699,-127.47327,218.94522,-89.25927
359,-223.261,260.512,-110.689,-135.7783,213.53862,-87.16667
360,-221.698,262.296,-110.686,-137.65387,211.75243,-88.13211
361,-220.22,263.978,-110.683,-140.21033,217.39262,-88.63246
362,-218.676,265.741,-110.681,-123.31272,221.95384,-90.072495
363,-217.181,267.45,-110.68,-115.19535,224.19919,-89.33897
364,-215.657,269.192,-110.679,-120.345,227.56789,-90.14612
365,-214.143,270.923,-110.678,-123.44474,220.98102,-89.17972
366,-212.273,273.054,-110.667,-131.61653,220.61205,-88.88039
367,-210.824,274.705,-110.664,-148.41122,209.31393,-86.17723
368,-209.425,276.305,-110.662,-150.60056,203.01785,-85.21977
369,-208.093,277.828,-110.66,-156.1334,204.95656,-84.73645
370,-206.867,279.23,-110.659,-155.09396,202.37454,-82.088715
371,-205.717,280.545,-110.658,-143.7268,197.37543,-83.307976
372,-204.537,281.89,-110.657,-153.19969,194.3046,-82.273346
373,-203.309,283.288,-110.656,-154.17693,196.43329,-82.89618
374,-202.072,284.699,-110.647,-166.83951,201.0637,-83.91348
375,-200.941,285.992,-110.644,-162.24014,199.16483,-82.98921
376,-199.878,287.208,-110.642,-182.29117,196.76143,-85.516426
377,-198.776,288.468,-110.64,-180.1026,201.48392,-86.15808
378,-197.664,289.739,-110.639,-187.86713,209.58804,-86.78588
379,-196.706,290.834,-110.638,-195.07956,211.80907,-89.47568
380,-195.727,291.95,-110.638,-207.61775,214.86496,-91.15676
381,-194.623,293.206,-110.637,-211.75943,219.63985,-91.81711
382,-193.357,294.65,-110.636,-222.0567,224.9209,-91.94249
383,-192.591,295.526,-110.634,-209.86127,223.19354,-93.81224
384,-191.948,296.26,-110.627,-216.5189,227.55234,-95.11305
385,-191.057,297.279,-110.624,-215.96909,227.16731,-96.136826
386,-190.521,297.893,-110.623,-219.3329,227.20558,-95.65361
387,-189.725,298.802,-110.622,-222.85129,224.22067,-95.64228
388,-188.844,299.81,-110.62,-230.55008,222.95012,-95.905
389,-188.01,300.763,-110.619,-229.418,227.14548,-97.62161
390,-187.032,301.88,-110.618,-239.81067,233.2325,-99.52317
391,-186.091,302.951,-110.617,-251.41544,228.51126,-99.91922
392,-185.208,303.956,-110.617,-249.37115,225.63167,-101.641136
393,-184.258,305.039,-110.616,-246.09,227.47263,-102.376114
394,-183.444,305.971,-110.615,-247.91345,232.65295,-103.085556
395,-182.524,307.022,-110.614,-253.42815,239.60052,-104.65391
396,-181.623,308.052,-110.606,-260.2751,235.43083,-104.45587
397,-180.79,309.005,-110.604,-275.60498,234.08963,-105.84344
398,-179.87,310.057,-110.602,-285.40735,230.76253,-107.30783
399,-179.084,310.956,-110.6,-279.08212,235.29086,-108.738556
400,-178.269,311.887,-110.599,-285.56744,240.09886,-108.96056
401,-177.347,312.936,-110.598,-290.95166,245.04791,-109.46021
402,-176.522,313.875,-110.597,-291.7557,246.40015,-109.454895
403,-175.725,314.783,-110.596,-291.1932,249.38141,-108.71863
404,-174.939,315.681,-110.596,-291.79727,250.995,-108.36226
405,-174.039,316.711,-110.595,-291.3886,257.38086,-109.4762
406,-173.253,317.61,-110.594,-294.39435,259.71527,-110.22139
407,-172.342,318.65,-110.594,-287.3555,262.5366,-110.96987
408,-171.442,319.68,-110.588,-286.92462,261.27402,-111.34831
409,-170.56,320.688,-110.583,-279.1375,263.246,-111.11748
410,-169.698,321.673,-110.581,-276.6042,266.4493,-112.6583
411,-168.911,322.569,-110.58,-278.97534,264.7238,-112.2726
412,-168.037,323.563,-110.578,-281.53375,270.1746,-113.86247
413,-167.413,324.274,-110.577,-286.3554,273.3436,-114.06011
414,-166.551,325.26,-110.576,-280.7228,269.54858,-114.60509
415,-165.794,326.126,-110.576,-282.69006,279.71326,-116.547714
416,-164.941,327.101,-110.575,-272.9883,281.64572,-117.387146
417,-164.213,327.934,-110.574,-265.78403,281.88388,-117.129616
418,-163.149,329.15,-110.574,-276.82986,280.9211,-116.48009
419,-162.306,330.114,-110.573,-284.76785,288.5591,-115.89108
